id_produto,nome_produto,categoria,preco_venda
SKU-001,Nokia 717,Smartphones,7743.49
SKU-002,Asus Vivobook 309,Notebooks,1519.41
SKU-003,Película 860,Acessorios,7468.01
SKU-004,Microfone 952,Audio,5533.51
SKU-005,Multilaser 469,Tablets,3737.05
SKU-006,Aoc Monitor 322,Monitores,4113.24
SKU-007,Webcam 981,Perifericos,2704.76
SKU-008,Ssd Sata 837,Armazenamento,2652.5
SKU-009,Motorola Moto 603,Smartphones,3867.4
SKU-010,Hp Pavilion 179,Notebooks,4950.14
SKU-011,Capa Protetora 734,Acessorios,447.72
SKU-012,Fone Bluetooth 410,Audio,3588.23
SKU-013,Lenovo Tab 199,Tablets,475.63
SKU-014,Asus Monitor 859,Monitores,7017.73
SKU-015,Teclado 404,Perifericos,6175.03
SKU-016,Pen Drive 369,Armazenamento,3682.57
SKU-017,Xiaomi Redmi 223,Smartphones,7359.28
SKU-018,Dell Inspiron 587,Notebooks,1437.92
SKU-019,Cabo Usb 566,Acessorios,6964.84
SKU-020,Microfone 376,Audio,229.34
SKU-021,Lenovo Tab 320,Tablets,568.0
SKU-022,Lg Monitor 609,Monitores,3488.28
SKU-023,Teclado 690,Perifericos,7184.39
SKU-024,Hd Interno 826,Armazenamento,2288.47
SKU-025,Asus Zenfone 124,Smartphones,5386.38
SKU-026,Hp Pavilion 806,Notebooks,3611.51
SKU-027,Capa Protetora 994,Acessorios,4527.54
SKU-028,Fone Com Fio 910,Audio,1890.59
SKU-029,Multilaser 472,Tablets,752.91
SKU-030,Lenovo Monitor 657,Monitores,1352.96
SKU-031,Webcam 428,Perifericos,5894.8
SKU-032,Ssd Sata 481,Armazenamento,3766.5
SKU-033,Motorola Moto 933,Smartphones,5397.63
SKU-034,Asus Vivobook 468,Notebooks,7693.02
SKU-035,Carregador 440,Acessorios,7401.52
SKU-036,Soundbar 143,Audio,2780.46
SKU-037,Lenovo Tab 713,Tablets,2766.12
SKU-038,Dell Monitor 971,Monitores,6399.95
SKU-039,Hub Usb 944,Perifericos,5561.06
SKU-040,Ssd 613,Armazenamento,4374.77
SKU-041,Iphone 360,Smartphones,7479.32
SKU-042,Hp Pavilion 800,Notebooks,5692.54
SKU-043,Suporte 849,Acessorios,6699.93
SKU-044,Amplificador 635,Audio,5272.29
SKU-045,Philco 867,Tablets,3293.59
SKU-046,Acer Monitor 755,Monitores,5169.02
SKU-047,Hub Usb 833,Perifericos,54.74
SKU-048,Ssd 607,Armazenamento,1197.63
SKU-049,Asus Zenfone 347,Smartphones,6058.61
SKU-050,Lenovo Thinkpad 934,Notebooks,1568.5
SKU-051,Película 312,Acessorios,1526.43
SKU-052,Caixa de Som 359,Audio,3648.16
SKU-053,Philco 777,Tablets,3253.86
SKU-054,Philips Monitor 497,Monitores,3030.58
SKU-055,Leitor de Cartao 750,Perifericos,4937.69
SKU-056,Hd Externo 611,Armazenamento,2591.07
SKU-057,Nokia 981,Smartphones,6392.76
SKU-058,Lenovo Thinkpad 532,Notebooks,5524.3
SKU-059,Power Bank 127,Acessorios,3070.74
SKU-060,Caixa de Som 586,Audio,2054.64
SKU-061,Samsung Tab 565,Tablets,3069.82
SKU-062,Lenovo Monitor 135,Monitores,2616.84
SKU-063,Leitor de Cartao 321,Perifericos,4929.05
SKU-064,Pen Drive 707,Armazenamento,6908.6
SKU-065,Nokia 170,Smartphones,4041.48
SKU-066,Asus Vivobook 920,Notebooks,7403.59
SKU-067,Fone de Ouvido 699,Acessorios,985.47
SKU-068,Fone Com Fio 400,Audio,6835.76
SKU-069,Philco 536,Tablets,921.91
SKU-070,Samsung Monitor 303,Monitores,3883.06
SKU-071,Webcam 891,Perifericos,3044.92
SKU-072,Ssd Nvme 986,Armazenamento,5480.11
SKU-073,Nokia 927,Smartphones,5621.2
SKU-074,Acer Aspire 242,Notebooks,1099.39
SKU-075,Capa Protetora 548,Acessorios,3994.36
SKU-076,Fone Bluetooth 825,Audio,4225.14
SKU-077,Samsung Tab 528,Tablets,3815.58
SKU-078,Asus Monitor 168,Monitores,568.14
SKU-079,Headset 586,Perifericos,3240.55
SKU-080,Pen Drive 223,Armazenamento,241.67
SKU-081,Xiaomi Redmi 556,Smartphones,5295.9
SKU-082,Macbook 589,Notebooks,581.21
SKU-083,Adaptador 218,Acessorios,4499.35
SKU-084,Microfone 236,Audio,5985.81
SKU-085,Ipad 622,Tablets,6315.29
SKU-086,Aoc Monitor 699,Monitores,4267.63
SKU-087,Webcam 427,Perifericos,7369.82
SKU-088,Cartao Sd 293,Armazenamento,5329.09
SKU-089,Samsung Galaxy 276,Smartphones,3133.47
SKU-090,Lenovo Thinkpad 249,Notebooks,5353.3
SKU-091,Película 589,Acessorios,4131.41
SKU-092,Soundbar 352,Audio,5034.18
SKU-093,Philco 330,Tablets,6632.41
SKU-094,Asus Monitor 143,Monitores,6971.82
SKU-095,Hub Usb 787,Perifericos,5825.64
SKU-096,Cartao Sd 866,Armazenamento,7264.69
SKU-097,Oneplus 761,Smartphones,6981.38
SKU-098,Macbook 609,Notebooks,6196.14
SKU-099,Adaptador 167,Acessorios,4515.41
SKU-100,Soundbar 891,Audio,5149.13
SKU-101,Multilaser 575,Tablets,5218.83
SKU-102,Aoc Monitor 956,Monitores,4305.56
SKU-103,Leitor de Cartao 623,Perifericos,3927.91
SKU-104,Pen Drive 580,Armazenamento,2729.75
SKU-105,Lg 645,Smartphones,4160.13
SKU-106,Macbook 377,Notebooks,7004.27
SKU-107,Suporte 431,Acessorios,7262.38
SKU-108,Microfone 296,Audio,6614.59
SKU-109,Multilaser 370,Tablets,4802.2
