pedido_id,id_cliente,id_produto,data_pedido,id_vendedor,quantidade,valor_frete,total_pedido,municipio,estado,regiao
1,218,SKU-231,2025-02-12,6,1,18.59,1994.03,Piracicaba,SP,Sudeste
2,2,SKU-171,2026-01-17,14,3,17.47,6014.64,Sorocaba,SP,Sudeste
3,337,SKU-035,2025-04-09,9,1,22.79,2777.19,Quixada,CE,Nordeste
4,1489,SKU-186,2025-12-15,4,1,23.75,273.82,Sorocaba,SP,Sudeste
5,159,SKU-211,2026-03-12,5,3,6.17,2894.76,Rio de Janeiro,RJ,Sudeste
6,676,SKU-036,2025-09-22,14,4,34.98,1517.92,Foz do Iguacu,PR,Sul
7,269,SKU-020,2026-01-08,1,1,19.95,581.57,Guarapuava,PR,Sul
8,3,SKU-073,2025-12-02,10,2,26.35,2062.22,Pocos de Caldas,MG,Sudeste
9,553,SKU-026,2026-01-07,6,1,7.85,2399.56,Foz do Iguacu,PR,Sul
10,1190,SKU-047,2025-08-06,14,1,11.95,223.57,Cascavel,PR,Sul
11,878,SKU-194,2025-03-23,15,3,32.19,7546.32,Londrina,PR,Sul
12,258,SKU-239,2025-02-11,11,3,32.57,677.91,Jaboatao dos Guararapes,PE,Nordeste
13,179,SKU-190,2025-02-23,2,2,7.06,3457.66,Brasilia,DF,Centro-Oeste
14,1198,SKU-011,2026-04-26,3,3,17.18,6413.91,Duque de Caxias,RJ,Sudeste
15,538,SKU-144,2025-09-11,12,1,15.02,77.64,Uberaba,MG,Sudeste
16,1134,SKU-162,2025-01-18,12,4,11.55,7448.48,Juiz de Fora,MG,Sudeste
17,1377,SKU-222,2026-06-06,15,2,34.69,1749.84,Osasco,SP,Sudeste
18,124,SKU-204,2025-07-12,4,4,21.43,3921.0,Sao Bernardo do Campo,SP,Sudeste
19,578,SKU-100,2025-07-17,7,3,15.33,6687.45,Serra Talhada,PE,Nordeste
20,1249,SKU-074,2025-10-03,5,2,23.49,3130.96,Campos dos Goytacazes,RJ,Sudeste
21,644,SKU-128,2025-01-02,12,1,17.17,398.69,Santa Maria,RS,Sul
22,31,SKU-048,2025-05-03,4,2,8.97,2443.88,Sao Jose dos Campos,SP,Sudeste
23,843,SKU-188,2025-03-15,2,4,8.99,144.8,Santa Maria,RS,Sul
24,509,SKU-167,2025-08-04,2,1,29.9,1463.51,Sao Bernardo do Campo,SP,Sudeste
25,188,SKU-115,2025-05-28,6,2,26.73,3455.64,Volta Redonda,RJ,Sudeste
26,1434,SKU-097,2025-10-09,7,4,24.89,4320.2,Contagem,MG,Sudeste
27,200,SKU-223,2025-09-06,1,4,19.67,9975.08,Guarapuava,PR,Sul
